County,ng_usd_per_mmbtu,e_usd_per_kwh,capital_pm
Anderson County,4.1241309664795,0.043632016806722684,0.924723359255
Andrews County,4.203310866531785,0.038959813375350136,0.942551914603
Angelina County,4.20526897346233,0.043632016806722684,0.919142389297
Aransas County,4.240314242762315,0.041660253851540624,0.912897593445
Archer County,4.107597438965375,0.038959813375350136,0.937470749021
Armstrong County,4.131987889212975,0.038959813375350136,0.945597465038
Atascosa County,4.296705548961395,0.041660253851540624,0.916103227933
Austin County,4.17063705133979,0.041660253851540624,0.915099659387
Bailey County,4.17493101252384,0.038959813375350136,0.948953649402
Bandera County,4.246349302461675,0.041660253851540624,0.922240001815
Bastrop County,4.17244708703279,0.041660253851540624,0.919188103893
Baylor County,4.120597948407065,0.038959813375350136,0.93774279952
Bee County,4.26365902571082,0.041660253851540624,0.913172006607
Bell County,4.073876451316265,0.041660253851540624,0.92461639422
Bexar County,4.2669702863307,0.043860413340336135,0.919241878493
Blanco County,4.18554969491354,0.041660253851540624,0.922711717455
Borden County,4.09709751021006,0.038959813375350136,0.93662302494
Bosque County,4.004168592706715,0.043632016806722684,0.929194295406
Bowie County,4.351826731300215,0.043632016806722684,0.9319476563
Brazoria County,4.15530377308207,0.04623601120448179,0.914163499219
Brazos County,4.128985647211875,0.043632016806722684,0.918438631755
Brewster County,4.46178914828255,0.038959813375350136,0.945128047308
Briscoe County,4.159315807989205,0.038959813375350136,0.942362070084
Brooks County,4.284504651002965,0.041660253851540624,0.909379337963
Brown County,4.085013664050409,0.043632016806722684,0.930342272476
Burleson County,4.1386230450214,0.041660253851540624,0.918122747365
Burnet County,4.138896736008445,0.041660253851540624,0.924720216365
Caldwell County,4.19558339414872,0.041660253851540624,0.919406954447
Calhoun County,4.2225269900588405,0.041660253851540624,0.91308297962
Callahan County,4.0426470535332,0.038959813375350136,0.932819667459
Cameron County,4.27128989597433,0.041660253851540624,0.910581757625
Camp County,4.21764776113989,0.043632016806722684,0.929157868028
Carson County,4.119963490542595,0.038959813375350136,0.946781378984
Cass County,4.289084738276295,0.043632016806722684,0.929647899809
Castro County,4.15702703716435,0.038959813375350136,0.94624068737
Chambers County,4.161970632847661,0.04623601120448179,0.914021937471
Cherokee County,4.15488187744626,0.043632016806722684,0.923662490845
Childress County,4.1293624495403405,0.038959813375350136,0.941344186664
Clay County,4.0913590415265695,0.038959813375350136,0.937860612358
Cochran County,4.149729391033105,0.038959813375350136,0.947348278016
Coke County,4.132532256466015,0.038959813375350136,0.932572625577
